"0001","相生ユニビオ","あいおいゆにびお","445-0891","22","愛知県愛知県西尾市下町丸山５番地","http://www.unibio.jp","34.8741958","137.038757","t"
"0002","相澤酒造","あいざわしゅぞう","327-0843","8","栃木県佐野市堀米町３９５４-１","http://www4.ocn.ne.jp/~ainosawa/","36.3262119","139.5780989","t"
"0003","愛知県食品工業技術センター","あいちけんしょくひんこうぎょうぎじゅつせんたー","451-0083","22","愛知県名古屋市西区新福寺町２-１-１","http://www.aichi-inst.jp/shokuhin/","35.2036811","136.8827142","t"
"0004","愛知酒造","あいちしゅぞう","529-1227","24","滋賀県愛知郡愛荘町野々目２０７","なし","35.1712595","136.2259741","t"
"0005","会津酒造","あいづしゅぞう","967-0006","6","福島県南会津郡南会津町永田字穴沢６０３","http://www.uyou.gr.jp/aizu-syuzou/","37.201433","139.756248","t"
"0006","会津錦","あいづにしき","969-4311","6","福島県喜多方市高郷町西羽賀２５２４","http://aizunishiki.jp/","37.6022185","139.7569163","t"
"0007","相原酒造","あいはらしゅぞう","737-0152","33","広島県呉市仁方本町１-２５-１５ ","http://www.urban.ne.jp/home/aihara/","34.2268087","132.6514232","f"
"0008","あい娘酒造","あいむすめしゅぞう","854-0301","雲仙市","雲仙市愛野町甲１３７８-２","なし","32.8214735","130.165721","t"
"0009","愛友酒造","あいゆうしゅぞう","311-2421","7","茨城県潮来市辻205","http://www.aiyu-sake.jp","35.9460896","140.5581442","t"
"0010","葵酒造","あおいしゅぞう","667-0112","27","兵庫県養父市養父市場２８１","なし","35.385246","134.8113091","t"
"0011","青ヶ島酒造","あおがしましゅぞう","100-1400","12","東京都八丈島八丈町","なし","33.1094444","139.7913889","f"
"0012","青木酒造（山口）","あおきしゅぞう","745-0302","34","山口県周南市鹿野町大字鹿野上３１９７","なし","34.0551188","131.8061858","t"
"0013","青木酒造（愛知）","あおきしゅぞう","496-0915","22","愛知県愛西市本部田町本西６０","http://www.yamahai.co.jp/","35.1368794","136.7358026","t"
"0015","青木酒造（新潟）","あおきしゅぞう","949-6408","14","新潟県南魚沼市塩沢１２１４","http://www.kakurei.co.jp/","37.0399491","138.8511738","t"
"0014","青木酒造(茨城）","あおきしゅぞう","306-0023","7","茨城県古河市本町２-１５-１１","なし","36.1907084","139.7061103","f"
"1189","青島酒造","あおしましゅぞう","426-0036","21","静岡県藤枝市上青島２４６","なし","34.8441575","138.227339","f"
"0016","青砥酒造","あおとしゅぞう","692-0623","31","島根県安来市広瀬町布部１１６４-４","なし","35.3018648","133.1483125","t"
"0017","青柳酒造","あおやぎしゅぞう","289-1701","11","千葉県山武郡横芝光町篠本７２６","なし","35.7013497","140.4993597","t"
"0018","赤磐酒造","あかいわしゅぞう","709-0821","32","岡山県赤磐市河本１１１３ ","http://www.freak.ne.jp/akaiwa/","34.7481022","134.0163487","t"
"0019","赤川酒造","あかがわしゅぞう","761-8012","36","香川県高松市香西本町２８６-１ ","なし","34.3448952","134.0024851","t"
"0020","赤木酒造","あかぎしゅぞう","716-0303","32","岡山県高梁市備中町長屋４３ ","なし","34.7872185","133.4588257","t"
"0021","赤澤酒造","あかざわしゅぞう","713-8126","32","岡山県倉敷市玉島黒崎７９９２ ","なし","34.4952126","133.6157293","t"
"0022","明石酒造","あかししゅぞう","889-4221","44","宮崎県えびの市大字栗下６１-１","http://www.meigetsu.co.jp/","32.0413558","130.8144626","f"
"0023","明石酒類醸造","あかししゅるいじょうぞう","673-0871","27","兵庫県明石市大蔵八幡町１-３","http://www.akashi-tai.com/","34.6448043","135.0121551","t"
"0024","明科酒造","あかしなしゅぞう","399-7102","19","長野県安曇野市明科中川手４１７６","なし","36.3565676","137.9318004","f"
"0025","明石醗酵工業","あかしはっこうこうぎょう","673-0026","27","兵庫県明石市船上町９-４８ ","http://www.akashi-tai.com/","34.6457116","134.9742279","t"
"0026","アカツキ酒造","あかつきしゅぞう","882-1414","44","宮崎県西臼杵郡高千穂町大字河内１８３５-５","なし","32.7756456","131.2561478","t"
"0027","暁酒造","あかつきしゅぞう","520-2331","24","滋賀県野洲市小篠原１３８９","なし","35.0662956","136.0284307","t"
"0028","吾妻嶺酒造店","あがつまみねしゅぞうてん","028-3453","2","岩手県紫波郡紫波町土舘字内川５ ","http://www.azumamine.com","39.5520108","141.1086497","t"
"0029","赤武酒造","あかぶしゅぞう","028-1177","2","岩手県上閉伊郡大槌町末広町３-３ ","なし","39.359756","141.9045572","t"
"0030","赤松本家酒造","あかまつほんけしゅぞう","798-3323","37","愛媛県宇和島市津島町上畑地甲１５０２","なし","33.0844572","132.5060851","t"
"0031","赤嶺酒造場","あかみねしゅぞうじょう","875-0201","43","大分県臼杵市野津町大字野津市１６４-１","なし","33.0440103","131.6926912","f"
"0032","赤名酒造","あかめいしゅぞう","690-3511","31","島根県飯石郡飯南町赤名２３","なし","34.9971962","132.7160212","t"
"0033","阿川酒造","あがわしゅぞう","779-4101","35","徳島県美馬郡つるぎ町貞光字町１１ ","なし","34.033888","134.0630264","t"
"0034","秋川酒造","あきがわしゅぞう","799-1312","37","愛媛県西条市大野１５０ ","http://www5b.biglobe.ne.jp/~sake/","33.9455265","133.0476577","t"
"0035","秋鹿酒造","あきしかしゅぞう","563-0113","26","大阪府豊能郡能勢町倉垣１００７ ","なし","34.9768837","135.4666694","f"
"0036","秋田県醗酵工業","あきたけんはっこうこうぎょう","012-0051","4","秋田県湯沢市深堀字中川原120-8","http://www.akihatsu.co.jp/","39.1687","140.4714761","f"
"0037","秋田酒造","あきたしゅぞう","010-1631","4","秋田県秋田市新屋元町２３-２８ ","http://www.osake.or.jp/kuramoto/m61.html","39.6839781","140.0826737","f"
"0038","秋田酒類製造","あきたしゅるいせいぞう","010-0934","4","秋田県秋田市川元むつみ町4-12","http://www.takashimizu.co.jp/index.html","39.7094174","140.1044786","f"
"0039","秋田醸造","あきたじょうぞう","010-0021","4","秋田県秋田市楢山登町５-２ ","http://www.osake.or.jp/kuramoto/m31.html","39.7081931","140.1143666","t"
"0040","秋田清酒","あきたせいしゅ","014-0801","4","秋田県大仙市戸地谷字天ケ沢８３-１","http://www.igeta.jp","39.4640763","140.4969619","f"
"0041","秋田富士酒造店","あきたふじしゅぞうてん","014-1412","4","秋田県大仙市藤木字西八圭３１","http://www.osake.or.jp/kuramoto/te1.html","39.412126","140.480976","t"
"0042","秋田誉酒造","あきたほまれしゅぞう","015-0875","4","秋田県由利本荘市砂子下３","http://www.osake.or.jp/kuramoto/u181.html","39.3897483","140.0389471","t"
"0043","秋田銘醸","あきためいじょう","012-0814","4","秋田県湯沢市大工町4番23号 ","http://www.ranman.co.jp","39.1680925","140.4946712","f"
"0044","明寿酒造","あきひさししゅぞう","759-5512","34","山口県下関市豊北町田耕２９８５","なし","34.2749749","130.9888642","t"
"0045","曙酒造","あけぼのしゅぞう","969-6537","6","福島県河沼郡会津坂下町字戊亥乙２","http://www.tenmei.co.jp/index7.html","37.5614809","139.8216425","f"
"0046","浅川酒造","あさかわしゅぞう","319-2212","7","茨城県常陸大宮市上大賀２５３４","なし","36.5805741","140.4057395","t"
"0047","浅勘酒造店","あさかんしゅぞうてん","989-6204","3","宮城県大崎市古川矢目字北谷地８７","http://www.yoimai.com/index.html","38.5609354","140.9115014","f"
"0048","阿桜酒造","あざくらしゅぞう","013-0041","4","秋田県横手市大沢字西野６７-２ ","http://www.azakura.co.jp/","39.3050111","140.5806886","f"
"0049","安佐酒造","あさしゅぞう","731-0101","33","広島県広島市安佐南区八木９丁目３２-４１","なし","34.4852801","132.5063457","t"
"0050","朝妻酒造","あさづましゅぞう","959-0422","14","新潟県新潟市西蒲区曽根２５１-２","なし","37.7963834","138.9167013","t"
"0051","朝凪酒造","あさなぎしゅぞう","839-0824","39","福岡県久留米市善導寺町飯田７８６ ","なし","33.3294174","130.6076873","t"
"0052","浅野酒造","あさのしゅぞう","716-0201","32","岡山県高梁市川上町地頭１８４９-２","なし","34.7363338","133.4839633","t"
"0053","麻原酒造","あさはらしゅぞう","350-0451","10","埼玉県入間郡毛呂山町毛呂本郷９４","http://www.lamoo.co.jp/sazanami/","35.9406614","139.3032881","t"
"0054","旭鳳酒造","あさひおおとりしゅぞう","731-0221","33","広島県広島市安佐北区可部３-８-１６","なし","34.5211316","132.5136909","t"
"0056","朝日川酒造","あさひがわしゅぞう","999-3511","5","山形県西村山郡河北町谷地９３","http://www.oboshi.co.jp/kuramoto/asahikawa","38.424893","140.314931","t"
"0057","旭菊酒造","あさひぎくしゅぞう","830-0115","39","福岡県久留米市三潴町大字壱町原４０３","http://www.asahigiku.com/","33.249714","130.4468352","f"
"0061","旭酒造(三重）","あさひしゅぞう","515-0303","23","三重県多気郡明和町大字山大淀１７６７","なし","34.567058","136.6468543","t"
"0062","朝日酒造（福井）","あさひしゅぞう","916-0141","17","福井県丹生郡越前町西田中１１-５３","なし","35.976416","136.1279926","t"
"0063","朝日酒造（新潟）","あさひしゅぞう","949-5494","14","新潟県長岡市朝日880-1","http://www.asahi-shuzo.co.jp/","37.3968971","138.7745844","f"
"0058","朝日酒造（鹿児島）","あさひしゅぞう","891-6202","45","鹿児島県大島郡喜界町湾４１-１ ","なし","28.3220994","129.9385624","f"
"0064","旭日酒造","あさひしゅぞう","693-0001","31","島根県出雲市今市町６６２ ","http://www.jujiasahi.co.jp","35.3639661","132.7571952","f"
"0059","旭酒造（大分）","あさひしゅぞう","871-0031","43","大分県中津市大字中殿３６３-１ ","なし","33.5996322","131.1932659","f"
"0060","旭酒造（山口）","あさひしゅぞう","742-0422","34","山口県岩国市周東町獺越2167-4","http://asahishuzo.ne.jp","34.1252289","132.0042756","f"
"0065","旭鶴","あさひつる","285-0804","11","千葉県佐倉市馬渡９１８ ","http://www.asahiduru.co.jp","35.6695768","140.2260995","t"
"0066","旭鶴酒造","あさひつるしゅぞう","709-3626","32","岡山県久米郡久米南町上神目４７４-１","なし","34.9006868","133.9337147","t"
"0067","アサヒビール","あさひびーる","130-8602","12","東京都墨田区吾妻橋1-23-1","http://www.asahibeer.co.jp/","35.710245","139.800382","f"
"0068","旭松酒造","あさひまつしゅぞう","834-1217","39","福岡県八女市黒木町大字黒木３６","なし","33.2140553","130.6675937","t"
"0069","あさ開","あさびらき","020-0828","2","岩手県盛岡市大慈寺町１０-３４ ","http://www.asabiraki-net.jp","39.692507","141.1595753","f"
"0070","浅舞酒造","あさまいしゅぞう","013-0105","4","秋田県横手市平鹿町浅舞３８８ ","http://www.amanoto.co.jp/","39.2655158","140.488556","t"
"0071","浅間酒造","あさましゅぞう","377-1304","9","群馬県吾妻郡長野原町長野原３０-８","http://www.asama-sakagura.co.jp/","36.551629","138.636044","t"
"0072","アシードブリュ－","あしーどぶりゅ－","721-0957","33","広島県福山市箕島町５７２５-１ ","http://www.shurakunosato.jp/","34.4572888","133.4025804","f"
"0073","東魁酒造","あずまいさおしゅぞう","311-0506","7","茨城県常陸太田市折橋町１２１１","なし","36.7176279","140.5030403","t"
"0074","東薫酒造","あずまかおるしゅぞう","287-0003","11","千葉県香取市佐原イ６２７","http://www.tokun.co.jp/","35.8890421","140.494705","f"
"0075","東の麓酒造","あずまのふもとしゅぞう","992-0472","5","山形県南陽市宮内2557番地 "," http://www3.omn.ne.jp/~yamaei/index.html","38.0721503","140.1393999","f"
"0076","東屋酒造","あずまやしゅぞう","698-0041","31","島根県益田市高津町イ８９９ ","なし","34.6852765","131.7957083","t"
"0077","麻生本店","あそうほんてん","879-5432","43","大分県由布市庄内町畑田１６","http://www.asouhonten.com/","33.1867627","131.4345049","f"
"0078","足立酒造","あだちしゅぞう","500-8222","20","岐阜県岐阜市琴塚３-２１-１０","なし","35.4159083","136.8129651","t"
"0079","安達本家酒造","あだちほんけしゅぞう","510-8101","23","三重県三重郡朝日町縄生２１０７-１","http://www.fujinohikari.com","35.0401232","136.6695376","t"
"0080","油正","あぶしょう","514-1135","23","三重県津市久居本町1583 ","http://www.abusyou-hatsuhi.co.jp","34.6739788","136.4712347","f"
"0081","阿武の鶴酒造","あぶのつるしゅぞう","759-3622","34","山口県阿武郡阿武町大字奈古２７９６ ","なし","34.5018794","131.4684353","t"
"0083","阿部勘九郎","あべかんくろう","985-0057","3","宮城県塩竈市西町３-９ ","なし","38.3171256","141.0138918","f"
"0084","阿部酒造","あべしゅぞう","945-1352","14","新潟県柏崎市安田３５６０","http://www5.ocn.ne.jp/~abesyuzo/","37.347607","138.6114872","t"
"0085","阿部酒造店","あべしゅぞうてん","321-3531","8","栃木県芳賀郡茂木町大字茂木１３２","http://abeshuzo.dnsalias.com/","36.533223","140.1869815","t"
"0086","天草酒造","あまくさしゅぞう","863-0101","42","熊本県天草市新和町小宮地１１８０８-１","http://www.rurinoka.co.jp/","32.3227974","130.1920502","f"
"0087","天の川酒造","あまのがわしゅぞう","811-5117","41","長崎県壱岐市郷ノ浦町田中触８０８","http://www1.ocn.ne.jp/~n-sake/02kuramoto/kura/16_amanokawasyuzou/index.html","33.7612934","129.7024196","f"
"0088","天埜酒造","あまのしゅぞう","475-0023","22","愛知県半田市亀崎町９-１１２ ","なし","34.9119697","136.9626829","t"
"0089","天吹酒造","あまぶきしゅぞう","849-0113","40","佐賀県三養基郡みやき町東尾2894 ","http://www.amabuki.co.jp","33.3266263","130.4574371","f"
"0090","奄美大島開運酒造","あまみおおしまかいうんしゅぞう","894-0026","45","鹿児島県奄美市名瀬港町９-１５ ","http://www.synapse.ne.jp/kaiun-syuzou/","28.3804978","129.495735","f"
"0091","奄美大島酒造","あまみおおしましゅぞう","894-0104","45","鹿児島県大島郡龍郷町浦１８６４-２ ","なし","28.4116613","129.5947229","f"
"0092","奄美大島にしかわ酒造","あまみおおしまにしかわしゅぞう","891-8114","45","鹿児島県大島郡伊仙町面縄６８５-３","http://nisikawa.net/syuzou/top/","27.6714627","128.9651935","f"
"0093","奄美酒類","あまみしゅるい","891-7101","45","鹿児島県鹿児島県大島郡徳之島町亀津１１９４","なし","27.7337857","129.01233","f"
"0094","天海の蔵","あまみのくら","894-1531","45","鹿児島県大島郡瀬戸内町手安７５４-１ ","http://www.amami.or.jp","28.1507451","129.2999574","f"
"0095","綾菊酒造","あやきくしゅぞう","761-2204","36","香川県綾歌郡綾川町山田下3393番地1","http://www.ayakiku.com/","34.2221975","133.9474759","f"
"0096","綾杉酒造場","あやすぎしゅぞうじょう","815-0032","39","福岡県福岡市南区塩原１-１２-３７","http://www.ayasugi.co.jp","33.5681379","130.4292863","t"
"0097","鮎正宗酒造","あゆまさむねしゅぞう","944-0341","14","新潟県妙高市大字猿橋６３６","http://www.ayumasamune.com/","36.9549359","138.2735511","t"
"0098","有木酒造場","あらきしゅぞうじょう","731-0501","33","広島県安芸高田市吉田町吉田１０９１-２","http://www.santaiariki.com/","34.663133","132.7061985","t"
"0099","嵐山酒造","あらしやましゅぞう","999-0121","5","山形県東置賜郡川西町大字上小松３１８２","http://www.fujinoi.com","38.00366","140.0404735","t"
"0100","有賀醸造","ありがじょうぞう","961-0303","6","福島県白河市東釜子本町９６","http://www.arinokawa.com/index.html","37.0998657","140.3487701","t"
"0101","アリサワ","ありさわ","782-0032","38","高知県香美市土佐山田町西本町１-４-１","なし","33.6061738","133.68537","t"
"0102","有澤酒造店","ありさわしゅぞうてん","930-0351","15","富山県中新川郡上市町北島４０","なし","36.7031999","137.3706212","t"
"0103","有馬錦酒造","ありまにしきしゅぞう","357-0063","10","埼玉県飯能市飯能４４６","なし","35.8568439","139.3032143","t"
"0104","有光酒造場","ありみつしゅぞうじょう","784-0033","38","高知県安芸市赤野甲３８-１","http://ww8.tiki.ne.jp/~akano","33.5162971","133.8339451","t"
"0105","有村酒造","ありむらしゅぞう","891-9301","45","鹿児島県大島郡与論町茶花２２６-１ ","なし","27.0484351","128.4163349","f"
"0106","有吉酒造","ありよししゅぞう","744-0071","34","山口県下松市清瀬町１-１３-１３ ","なし","34.0302059","131.8563485","t"
"0107","安藤酒造","あんどうしゅぞう","674-0061","27","兵庫県明石市大久保町森田１７９-２ ","なし","34.675351","134.949832","t"
"0108","ＥＨ酒造","いーえいちしゅぞう","399-8204","19","長野県安曇野市豊科高家１０９０-１","http://www.eh-shuzo.com","36.2555813","137.9236403","t"
"0109","飯田酒造場","いいだしゅぞうじょう","288-0817","11","千葉県銚子市清川町２-１-２ ","なし","35.7296982","140.8205996","f"
"0110","飯田本家","いいだほんけ","289-0313","11","千葉県香香取市小見川１７８","なし","35.8524708","140.6016597","t"
"0111","飯田本店","いいだほんてん","632-0062","28","奈良県天理市長柄町６５６","なし","34.5728746","135.8293994","t"
"0112","飯沼本家","いいぬまほんけ","285-0914","11","千葉県印旛郡酒々井町馬橋１０６ ","http://www.iinumahonke.co.jp","35.7089255","140.2718494","f"
"0113","飯沼銘醸","いいぬまめいじょう","322-0604","8","栃木県上都賀郡西方町元８５０ ","なし","36.465096","139.7324031","f"
"0114","飯盛酒造","いいもりしゅぞう","849-1321","40","佐賀県鹿島市古枝甲１２２ ","なし","33.0918278","130.1029027","t"
"0115","家久長本店","いえひさちょうほんてん","319-3526","7","茨城県久慈郡大子町大子２４８-１ ","なし","36.7762117","140.3461604","t"
"0116","伊賀泉酒造","いがいずみしゅぞう","518-0108","23","三重県伊賀市才良６５ ","なし","34.7104909","136.1541412","t"
"0117","井賀屋酒造店","いがやしゅぞうてん","383-0013","19","長野県中野市大字中野１５９７","http://www.iwasimizu.com/","36.7471102","138.3733332","t"
"0118","五十嵐酒造","いがらししゅぞう","357-0044","10","埼玉県飯能市川寺６６７-１","http://www.snw.co.jp/~iga_s/index.html","35.8384329","139.3248875","f"
"0119","勢玉","いきおいたま","770-0868","35","徳島県徳島市福島１-４-９ ","なし","34.0719284","134.5632402","t"
"0120","壱岐の蔵酒造","いきのくらしゅぞう","811-5753","41","長崎県壱岐市芦辺町湯岳本村触５２０ ","http://www.ikinokura.co.jp/","33.7834978","129.7319164","f"
"0121","壱岐の華","いきのはな","811-5315","41","長崎県壱岐市芦辺町諸吉二亦触１６６４-１","http://www010.upp.so-net.ne.jp/ikishuzo/ikinohana/ikinohana01.html","33.7835182","129.7530044","f"
"0122","生熊酒造","いくましゅぞう","729-5124","33","広島県庄原市東城町東城４３-１ ","なし","34.8950694","133.2724319","t"
"0123","池浦酒造","いけうらしゅぞう","949-4524","14","新潟県長岡市大字両高乙５１０-１","http://ikeura-syuzo.co.jp/","37.5775902","138.7441221","f"
"0124","池亀酒造","いけがめしゅぞう","830-0105","39","福岡県久留米市三潴町草場５４５","http://www.ikekame.com/","33.2627346","130.4442164","f"
"0125","池島酒造","いけじましゅぞう","324-0036","8","栃木県大田原市下石上１２２７","http://www.ikenishiki.co.jp/","36.8503178","139.9482607","t"
"0126","池田酒造（京都）","いけだしゅぞう","624-0966","25","京都府舞鶴市中山３２ ","なし","35.4696216","135.2826549","t"
"0127","池田酒造（福井）","いけだしゅぞう","918-8076","17","福井県福井市本堂町７０-１ ","なし","36.0598996","136.132581","t"
"0128","池田屋","いけだや","835-0024","39","福岡県みやま市瀬高町下庄１２８７","なし","33.1588912","130.4718288","t"
"0129","池田屋酒造（岐阜）","いけだやしゅぞう","501-0619","20","岐阜県揖斐郡揖斐川町三輪６１２-１","なし","35.4881171","136.5739492","t"
"0130","池田屋酒造（新潟）","いけだやしゅぞう","941-0065","14","新潟県糸魚川市新鉄１丁目３-４ ","なし","37.0437805","137.8566304","f"
"0131","池月酒造","いけづきしゅぞう","696-0501","31","島根県邑智郡邑南町阿須那１-３","なし","34.8697448","132.617053","t"
"0132","池原酒造所","いけはらしゅぞうしょ","907-0022","46","沖縄県石垣市字大川１７５番地 ","なし","24.3409826","124.160258","t"
"0133","池間酒造","いけましゅぞう","906-0005","46","沖縄県宮古島市平良字西原５７ ","なし","24.8305235","125.2951077","t"
"0134","池本酒造","いけもとしゅぞう","520-1621","24","滋賀県高島市今津町今津２２１ ","http://www.biwa-cho.com/","35.4030961","136.0318008","f"
"0135","生駒高原酒造","いこまたかはるしゅぞう","886-0004","44","宮崎県小林市大字細野３９９９ ","なし","31.9801218","130.9681107","f"
"0136","勲碧酒造","いさおへきしゅぞう","483-8128","22","愛知県江南市小折本町柳橋８８番地 ","http://www.kunpeki.co.jp/","35.3068995","136.8793452","t"
"0137","井坂酒造場","いさかしゅぞうじょう","596-0103","26","大阪府岸和田市稲葉町117 ","なし","34.43235","135.4381094","t"
"0138","井坂酒造店","いさかしゅぞうてん","311-0504","7","茨城県常陸太田市小中町１８７","なし","36.7530347","140.4853072","t"
"0139","井澤本家","いざわほんけ","675-1111","27","兵庫県加古郡稲美町印南８１８ ","http://www3.ocn.ne.jp/~izawa818/","34.747374","134.9454457","f"
"0140","石井産業","いしいさんぎょう","822-0113","39","福岡県宮若市金生２７９ ","なし","33.7205587","130.6245799","t"
"0141","石井酒造","いしいしゅぞう","340-0156","10","埼玉県幸手市南２-６-１１","http://www.ishii-syuzo.jp/","36.0688895","139.7097345","t"
"0142","石井醸造","いしいじょうぞう","258-0016","13","神奈川県足柄上郡大井町上大井９５４ ","http://www.ishiijozo.com","35.3205392","139.1673656","t"
